OBJECTID_1,PARKING_LO,ROTATE,CREATED_BY,CREATED_DA,MODIFIED_B,MODIFIED_D,access_type,CreationDate,Creator,EditDate,Editor,Location,LATITUDE,LONGITUDE
42,90,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2687893, -97.7422104)",30.2687893,-97.7422104
43,93,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2653675, -97.7425232)",30.2653675,-97.7425232
44,94,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2666492, -97.746109)",30.2666492,-97.746109
45,95,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.264204, -97.7455368)",30.264204,-97.7455368
46,324,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2656536, -97.7476578)",30.2656536,-97.7476578
47,325,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2678223, -97.7452698)",30.2678223,-97.7452698
48,326,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2702389, -97.7399292)",30.2702389,-97.7399292
49,328,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2690639, -97.741066)",30.2690639,-97.741066
50,329,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2677307, -97.7383041)",30.2677307,-97.7383041
51,330,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2682438, -97.7378693)",30.2682438,-97.7378693
